# KIC   dateobs      eclipse?    filter    filename[-15:]
#
4569590 2456902.8396 Pri B 140902.222.fits
4569590 2456902.84149 No  V 140902.223.fits
4569590 2456902.84278 No  R 140902.224.fits
4569590 2456902.84363 No  I 140902.225.fits
4569590 2456902.84468 No  B 140902.226.fits
4569590 2456902.84669 No  V 140902.227.fits
4569590 2456902.8479 No  R 140902.228.fits
4569590 2456902.84881 No  I 140902.229.fits
4569590 2456902.84993 No  B 140902.230.fits
4569590 2456902.85184 No  V 140902.231.fits
4569590 2456902.85307 No  R 140902.232.fits
4569590 2456902.85395 No  I 140902.233.fits
4569590 2456761.84784 No  B 140414.091.fits
4569590 2456761.84828 No  B 140414.092.fits
4569590 2456761.8487 No  B 140414.093.fits
4569590 2456761.84938 No  V 140414.094.fits
4569590 2456761.84981 No  V 140414.095.fits
4569590 2456761.85018 No  V 140414.096.fits
4569590 2456761.85076 No  R 140414.097.fits
4569590 2456761.85116 No  R 140414.098.fits
4569590 2456761.85165 No  R 140414.099.fits
4569590 2456761.85229 No  I 140414.100.fits
4569590 2456761.85269 No  I 140414.101.fits
4569590 2456761.85311 No  I 140414.102.fits
4569590 2456772.98522 No  B 140425.1063.fits
4569590 2456772.98566 No  B 140425.1064.fits
4569590 2456772.9861 No  B 140425.1065.fits
4569590 2456772.98675 No  V 140425.1066.fits
4569590 2456781.83158 No  B 140504.429.fits
4569590 2456781.83357 No  V 140504.430.fits
4569590 2456781.8348 No  R 140504.431.fits
4569590 2456781.83573 No  I 140504.432.fits
4569590 2456781.83692 No  B 140504.433.fits
4569590 2456781.83891 No  V 140504.434.fits
4569590 2456781.84022 No  R 140504.435.fits
4569590 2456781.84125 No  I 140504.436.fits
4569590 2456781.84254 No  B 140504.437.fits
4569590 2456781.84451 No  V 140504.438.fits
4569590 2456781.84573 No  R 140504.439.fits
4569590 2456781.84669 No  I 140504.440.fits
4569590 2456781.84787 No  B 140504.441.fits
4569590 2456781.84987 No  V 140504.442.fits
4569590 2456781.85117 No  R 140504.443.fits
4569590 2456781.85218 No  I 140504.444.fits
4569590 2456781.85335 No  B 140504.445.fits
4569590 2456781.85528 No  V 140504.446.fits
4569590 2456781.85653 No  R 140504.447.fits
4569590 2456781.85754 No  I 140504.448.fits
4569590 2456784.78615 No  B 140507.020.fits
4569590 2456784.78819 No  V 140507.021.fits
4569590 2456784.78944 No  R 140507.022.fits
4569590 2456784.79043 No  I 140507.023.fits
